tx_id,sender,receiver,amount,timestamp,is_fraud
TXN9A5F43F0,balhaar69@okaxis,acharya-kapur@oksbi,276.17,2026-06-01 09:01:13,0
TXN764E333F,damini59@okaxis,chowdhury-kala@oksbi,195.18,2026-06-01 09:01:55,0
TXN51CC95A1,henry38@okaxis,kara-golla@oksbi,692.51,2026-06-01 09:02:20,0
TXN9435636B,nandini73@okaxis,lataandsons@oksbi,31.92,2026-06-01 09:03:42,0
TXN9055E273,zayan78@okaxis,"chand,daniandbansal@oksbi",291.56,2026-06-01 09:03:55,0
TXNDCCE4158,chasmum60@okaxis,purohit-mody@oksbi,163.93,2026-06-01 09:04:06,0
TXN048F72A0,vinaya87@okaxis,nigam-nori@oksbi,71.39,2026-06-01 09:04:33,0
TXNC726FD17,ayaan70@okaxis,subramanian-mangat@oksbi,684.57,2026-06-01 09:05:02,0
TXN63CB373F,suhani15@okaxis,dyal-rai@oksbi,554.15,2026-06-01 09:05:37,0
TXN2AAB5147,naveen23@okaxis,"roy,gillandamble@oksbi",198.82,2026-06-01 09:06:20,0
TXNB4D73082,anthony26@okaxis,balayinc@oksbi,135.81,2026-06-01 09:06:20,0
TXNB04586BC,ekbal73@okaxis,setty-bajaj@oksbi,131.24,2026-06-01 09:06:29,0
TXN9F1E95BC,jagvi54@okaxis,"mandal,shahandraghavan@oksbi",81.54,2026-06-01 09:06:57,0
TXNF5B4807D,ekiya18@okaxis,viswanathan-bail@oksbi,806.77,2026-06-01 09:07:45,0
TXN04C44884,isha56@okaxis,panchal-lanka@oksbi,654.36,2026-06-01 09:08:20,0
TXNA337A1DC,devansh24@okaxis,"chopra,padmanabhanandwarrior@oksbi",16.72,2026-06-01 09:08:22,0
TXN2ABF7ECE,chakradhar48@okaxis,"gala,senguptaandanand@oksbi",32.83,2026-06-01 09:08:25,0
TXN22070EBF,bina77@okaxis,kothari-pal@oksbi,80.81,2026-06-01 09:08:28,0
TXN8CCF8647,daniel85@okaxis,"kant,rajagopalandpai@oksbi",129.05,2026-06-01 09:09:11,0
TXN21DD5764,daniel85@okaxis,"gole,jainandnazareth@oksbi",155.75,2026-06-01 09:09:21,0
TXN796721F7,aradhana18@okaxis,dyal-rai@oksbi,122.61,2026-06-01 09:09:58,0
TXN27DD7FD3,benjamin56@okaxis,"roy,gillandamble@oksbi",20.75,2026-06-01 09:10:02,0
TXND05EE399,chandresh53@okaxis,"sathe,luthraandsule@oksbi",1059.78,2026-06-01 09:10:36,0
TXNA948F074,chanakya99@okaxis,"roy,gillandamble@oksbi",337.06,2026-06-01 09:10:37,0
TXN79E90AD8,karan21@okaxis,"issac,shettyandroy@oksbi",849.81,2026-06-01 09:12:09,0
TXN456B079B,nilima63@okaxis,dutt-bakshi@oksbi,34.29,2026-06-01 09:12:12,0
TXN455085B5,laksh39@okaxis,"gole,groverandgoyal@oksbi",47.02,2026-06-01 09:12:21,0
TXNEF3F002B,oscar12@okaxis,tataplc@oksbi,155.15,2026-06-01 09:12:57,0
TXN76CAA03D,osha74@okaxis,tataplc@oksbi,502.67,2026-06-01 09:13:02,0
TXNEDB27EC8,xavier64@okaxis,dyal-rai@oksbi,577.33,2026-06-01 09:14:19,0
TXN47832AE9,jackson81@okaxis,panchal-lanka@oksbi,81.4,2026-06-01 09:14:39,0
TXN551DD61F,jagvi25@okaxis,"gole,jainandnazareth@oksbi",16.11,2026-06-01 09:14:43,0
TXNDA2105FD,abeer59@okaxis,nadkarniplc@oksbi,208.5,2026-06-01 09:15:51,0
TXNEF639F84,krisha27@okaxis,"guha,kuruvillaanddeshmukh@oksbi",37.89,2026-06-01 09:16:10,0
TXN8268C51A,jasmit28@okaxis,"bassi,rajanandmuni@oksbi",593.29,2026-06-01 09:16:26,0
TXND2D36639,brijesh98@okaxis,kothari-pal@oksbi,118.83,2026-06-01 09:16:45,0
TXN59F5EB29,hritik64@okaxis,subramanian-mangat@oksbi,180.75,2026-06-01 09:17:00,0
TXN7FB142D5,arjun79@okaxis,patlainc@oksbi,68.48,2026-06-01 09:17:02,0
TXN2410BD39,amara93@okaxis,raigroup@oksbi,868.11,2026-06-01 09:17:42,0
TXNF5463C7F,harita70@okaxis,patlainc@oksbi,345.3,2026-06-01 09:18:24,0
TXN738CD228,charan79@okaxis,panchal-lanka@oksbi,154.97,2026-06-01 09:19:23,0
TXNE44BA7CC,chandresh53@okaxis,dyal-rai@oksbi,210.67,2026-06-01 09:19:26,0
TXNC1805D1B,aayush10@okaxis,setty-bajaj@oksbi,22.5,2026-06-01 09:19:42,0
TXN84852657,falan81@okaxis,"palla,krishnanandnarang@oksbi",941.45,2026-06-01 09:20:22,0
TXND40BB00C,janya23@okaxis,"kala,duttandmodi@oksbi",468.42,2026-06-01 09:20:50,0
TXN07C2E7F6,suhani15@okaxis,narayananinc@oksbi,216.92,2026-06-01 09:21:27,0
TXN6697E62B,girik65@okaxis,handa-bhasin@oksbi,336.03,2026-06-01 09:21:47,0
TXN791032A0,ryan43@okaxis,lataandsons@oksbi,248.01,2026-06-01 09:21:58,0
TXN9EF856A8,hemal31@okaxis,dutt-bakshi@oksbi,165.03,2026-06-01 09:22:04,0
TXN3B86ECBE,theodore76@okaxis,vaidyainc@oksbi,121.11,2026-06-01 09:22:24,0
TXN8E22FFD9,bimala15@okaxis,setty-bajaj@oksbi,128.65,2026-06-01 09:22:26,0
TXN4A06119B,lajita87@okaxis,chaudry-mital@oksbi,391.8,2026-06-01 09:23:09,0
TXNB02AED5F,advik16@okaxis,narayananinc@oksbi,36.76,2026-06-01 09:23:32,0
TXND72976ED,kevin53@okaxis,"chand,daniandbansal@oksbi",311.4,2026-06-01 09:23:59,0
TXN349C319F,jyoti31@okaxis,dutt-bakshi@oksbi,414.27,2026-06-01 09:24:10,0
TXN47E3B182,vedhika28@okaxis,"palla,krishnanandnarang@oksbi",274.88,2026-06-01 09:24:21,0
TXN027F6C1A,shravya66@okaxis,chowdhury-kala@oksbi,926.12,2026-06-01 09:24:29,0
TXN07751B18,warda51@okaxis,"sathe,luthraandsule@oksbi",248.58,2026-06-01 09:24:32,0
TXNC83843A4,nimrat37@okaxis,"palla,krishnanandnarang@oksbi",682.56,2026-06-01 09:25:55,0
TXN4772A3E1,yuvraj27@okaxis,lataandsons@oksbi,303.55,2026-06-01 09:26:10,0
TXN3F4C1267,chanchal81@okaxis,acharya-kapur@oksbi,1184.3,2026-06-01 09:26:30,0
TXNAAC7B128,oviya37@okaxis,vaidyainc@oksbi,460.32,2026-06-01 09:26:56,0
TXN10657BF7,warjas11@okaxis,"mandal,shahandraghavan@oksbi",25.85,2026-06-01 09:27:10,0
TXN6BBA0E84,shivansh22@okaxis,panchal-lanka@oksbi,411.32,2026-06-01 09:27:24,0
TXNA0B63C7D,jack55@okaxis,balainc@oksbi,1012.41,2026-06-01 09:27:34,0
TXN78307DC7,ayush76@okaxis,tataplc@oksbi,140.23,2026-06-01 09:27:43,0
TXN39F1E5F5,netra51@okaxis,raigroup@oksbi,95.95,2026-06-01 09:27:49,0
TXN64DD466B,aarav10@okaxis,"tak,sridharandprashad@oksbi",168.32,2026-06-01 09:28:15,0
TXN14F95961,anay31@okaxis,narayananinc@oksbi,373.13,2026-06-01 09:28:19,0
TXNAE29585F,victor23@okaxis,subramanian-sridhar@oksbi,109.7,2026-06-01 09:28:56,0
TXNAF06CED5,zilmil90@okaxis,subramanian-sridhar@oksbi,410.8,2026-06-01 09:28:56,0
TXNB050327A,divya60@okaxis,sama-ratti@oksbi,418.06,2026-06-01 09:29:45,0
TXN269E9945,unni50@okaxis,"gole,groverandgoyal@oksbi",254.16,2026-06-01 09:32:21,0
TXN5C51AEC3,agastya28@okaxis,"issac,shettyandroy@oksbi",327.63,2026-06-01 09:33:24,0
TXN82855895,triya19@okaxis,setty-bajaj@oksbi,291.67,2026-06-01 09:33:32,0
TXN9A783BC4,caleb11@okaxis,tataplc@oksbi,434.2,2026-06-01 09:34:05,0
TXN13E44ADE,teerth11@okaxis,seth-bala@oksbi,67.89,2026-06-01 09:34:09,0
TXND10D2FF1,neha29@okaxis,memon-vyas@oksbi,122.57,2026-06-01 09:34:36,0
TXNEAFEACB3,chaman74@okaxis,kara-golla@oksbi,117.46,2026-06-01 09:34:36,0
TXN4DDBC3D1,anamika68@okaxis,"palla,krishnanandnarang@oksbi",295.92,2026-06-01 09:35:00,0
TXN09013D26,baghyawati84@okaxis,subramanian-mangat@oksbi,273.29,2026-06-01 09:35:31,0
TXNA1F2647A,ethan63@okaxis,subramanian-mangat@oksbi,351.69,2026-06-01 09:35:36,0
TXN9165FEED,patrick49@okaxis,"tak,sridharandprashad@oksbi",105.66,2026-06-01 09:35:52,0
TXN1E970743,aradhana18@okaxis,tataplc@oksbi,164.13,2026-06-01 09:36:16,0
TXNC5015996,ubika57@okaxis,setty-bajaj@oksbi,335.57,2026-06-01 09:36:16,0
TXN1698B66D,jhalak47@okaxis,patlainc@oksbi,89.87,2026-06-01 09:36:52,0
TXNACF20A25,pahal23@okaxis,patlainc@oksbi,272.9,2026-06-01 09:37:00,0
TXNE3A88BDE,triveni97@okaxis,"palla,krishnanandnarang@oksbi",120.15,2026-06-01 09:37:12,0
TXN23A8F290,harinakshi24@okaxis,"issac,shettyandroy@oksbi",99.86,2026-06-01 09:37:40,0
TXNE7D38AE1,girik65@okaxis,tataplc@oksbi,79.82,2026-06-01 09:39:23,0
TXN0BF19E77,shivansh76@okaxis,"bassi,rajanandmuni@oksbi",186.73,2026-06-01 09:39:23,0
TXN3308512D,hritik64@okaxis,"gole,jainandnazareth@oksbi",659.62,2026-06-01 09:39:26,0
TXN31778E04,amara93@okaxis,"sinha,daraandsalvi@oksbi",225.74,2026-06-01 09:40:10,0
TXN947E5DD2,bhavini63@okaxis,patla-mukherjee@oksbi,36.97,2026-06-01 09:40:21,0
TXN0751B6D9,balvan97@okaxis,memon-vyas@oksbi,712.95,2026-06-01 09:40:38,0
TXNF45AE8E0,harinakshi24@okaxis,narayananinc@oksbi,228.92,2026-06-01 09:40:42,0
TXN2C89160E,agastya28@okaxis,dutt-bakshi@oksbi,408.13,2026-06-01 09:41:30,0
TXNA55AE9BC,chanchal42@okaxis,patla-mukherjee@oksbi,1192.82,2026-06-01 09:42:08,0
